university,academic_year,programme,degree_level,fee_status,fee_gbp,source,notes,course_code,extraction_date
Cambridge,2020/21,Linguistics,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721665
Cambridge,2020/21,Management Studies,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721667
Cambridge,2020/21,Management Studies,BA,overseas,32214.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721667
Cambridge,2020/21,Manufacturing Engineering,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721670
Cambridge,2020/21,Manufacturing Engineering,BA,overseas,32214.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721670
Cambridge,2020/21,Mathematics [1],BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721672
Cambridge,2020/21,Mathematics [1],BA,overseas,23607.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721673
Cambridge,2020/21,Medicine,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 4 (Medicine/Veterinary),,2025-09-16T18:55:31.721675
Cambridge,2020/21,Medicine,BA,overseas,55272.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 4 (Medicine/Veterinary),,2025-09-16T18:55:31.721676
Cambridge,2020/21,Modern and Medieval Languages,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721678
Cambridge,2020/21,Modern and Medieval Languages,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721679
Cambridge,2020/21,Music,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721681
Cambridge,2020/21,Music,BA,overseas,27696.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721682
Cambridge,2020/21,Natural Sciences,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721684
Cambridge,2020/21,Natural Sciences,BA,overseas,32214.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721684
Cambridge,2020/21,Philosophy,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721686
Cambridge,2020/21,Philosophy,BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721687
Cambridge,2020/21,Psychological and Behavioural Sciences,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721689
Cambridge,2020/21,Psychological and Behavioural Sciences,BA,overseas,32214.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 2 (Sciences),,2025-09-16T18:55:31.721690
Cambridge,2020/21,Theology for Ministry (BTh),BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721692
Cambridge,2020/21,Theology for Ministry (BTh),BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721693
Cambridge,2020/21,"Theology, Religion, and Philosophy of Religion",BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721695
Cambridge,2020/21,"Theology, Religion, and Philosophy of Religion",BA,overseas,21168.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:31.721696
Cambridge,2020/21,Veterinary Medicine,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 4 (Medicine/Veterinary),,2025-09-16T18:55:31.721698
Cambridge,2020/21,Veterinary Medicine,BA,overseas,55272.0,Cambridge official - undergraduate_tuition_fees_2020-21.pdf,Group 4 (Medicine/Veterinary),,2025-09-16T18:55:31.721699
Cambridge,2021/22,"Anglo-Saxon, Norse, and Celtic",BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413128
Cambridge,2021/22,"Anglo-Saxon, Norse, and Celtic",BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413137
Cambridge,2021/22,Archaeology,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413140
Cambridge,2021/22,Archaeology,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413141
Cambridge,2021/22,Architecture,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413143
Cambridge,2021/22,Architecture,BA,overseas,29082.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413144
Cambridge,2021/22,Asian and Middle Eastern Studies,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413146
Cambridge,2021/22,Asian and Middle Eastern Studies,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413147
Cambridge,2021/22,Chemical Engineering,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413149
Cambridge,2021/22,Chemical Engineering,BA,overseas,33825.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413150
Cambridge,2021/22,Classics,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413152
Cambridge,2021/22,Classics,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413153
Cambridge,2021/22,Computer Science,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413155
Cambridge,2021/22,Computer Science,BA,overseas,33825.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413155
Cambridge,2021/22,Economics,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413157
Cambridge,2021/22,Economics,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413158
Cambridge,2021/22,Education,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413160
Cambridge,2021/22,Education,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413161
Cambridge,2021/22,Engineering [1],BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413163
Cambridge,2021/22,Engineering [1],BA,overseas,33825.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413164
Cambridge,2021/22,English,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413165
Cambridge,2021/22,English,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413166
Cambridge,2021/22,Geography,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413168
Cambridge,2021/22,Geography,BA,overseas,29082.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413169
Cambridge,2021/22,Graduate course in Medicine,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 4 (Medicine/Veterinary),,2025-09-16T18:55:32.413171
Cambridge,2021/22,Graduate course in Medicine,BA,overseas,58038.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 4 (Medicine/Veterinary),,2025-09-16T18:55:32.413172
Cambridge,2021/22,History,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413174
Cambridge,2021/22,History,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413174
Cambridge,2021/22,History and Modern Languages,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413176
